<UNK> 1.0	SPN
XUÝT 1.0	S W I TC
DÍP 1.0	D I PC
QUẸT 1.0	K W E TC
KHOẮNG 1.0	KH W AW NGZ
NỊT 1.0	N I TC
VẨU 1.0	V AA UZ
BỐT 1.0	B OO TC
PHÀ 1.0	PH A
OANG 1.0	W A NGZ
SỤ 1.0	S U
MỦNG 1.0	M U NGZ
ẸP 1.0	E PC
XO 1.0	S O
NẠM 1.0	N A MZ
DÌM 1.0	D I MZ
NHỞN 1.0	NH OW NZ
NHƠ 1.0	NH OW
MOM 1.0	M O MZ
BỐP 1.0	B OO PC
BỚP 1.0	B OW PC
RUỘM 1.0	R UO MZ
ĐỎM 1.0	DD O MZ
NGĂM 1.0	NG AW MZ
MƯNG 1.0	M UW NGZ
ĐÉT 1.0	DD E TC
ĐỤP 1.0	DD U PC
RẤM 1.0	R AA MZ
RỘM 1.0	R OO MZ
CHẬC 1.0	CH AA KC
DỞM 1.0	D OW MZ
SẾN 1.0	S EE NZ
CÂNG 1.0	K AA NGZ
DÁI 1.0	D A IZ
NHÂY 1.0	NH AA IZ
KỆCH 1.0	K EE KC
DOM 1.0	D O MZ
LỦN 1.0	L U NZ
KHỦY 1.0	KH W I
CHẠ 1.0	CH A
VÉO 1.0	V E UZ
PI 1.0	P I
DẰM 1.0	D AW MZ
DỚP 1.0	D OW PC
BỢT 1.0	B OW TC
NGHỂN 1.0	NG EE NZ
DÚNG 1.0	D U NGZ
TRẢM 1.0	TR A MZ
CHẠC 1.0	CH A KC
HẾCH 1.0	H EE KC
TRIỆN 1.0	TR IE NZ
NHÈO 1.0	NH E UZ
CHẦY 1.0	CH AA IZ
KHOEO 1.0	KH W E UZ
PHẠN 1.0	PH A NZ
RÀN 1.0	R A NZ
TÊNH 1.0	T EE NGZ
RƯỚN 1.0	R WA NZ
DẬT 1.0	D AA TC
LƯỜM 1.0	L WA MZ
CHĨA 1.0	CH IE
KẸ 1.0	K E
NHÁCH 1.0	NH A KC
RÉ 1.0	R E
KHIỀN 1.0	KH IE NZ
DÔ 1.0	D OO
SUI 1.0	S U IZ
VỂNH 1.0	V EE NGZ
CỒI 1.0	K OO IZ
KỀM 1.0	K EE MZ
ĐON 1.0	DD O NZ
HOẮM 1.0	H W AW MZ
HOEN 1.0	H W E NZ
KHUYỂN 1.0	KH W IE NZ
MUỒNG 1.0	M UO NGZ
THẾT 1.0	TH EE TC
QUÈO 1.0	K W E UZ
ĐẸT 1.0	DD E TC
DỨ 1.0	D UW
GIẺ 1.0	D E
SỀ 1.0	S EE
LUỐC 1.0	L UO KC
NƯA 1.0	N WA
KIẾNG 1.0	K IE NGZ
PÔ 1.0	P OO
HÁU 1.0	H A UZ
CHỔNG 1.0	CH OO NGZ
DUỐI 1.0	D UO IZ
ĐOẢN 1.0	DD W A NZ
BÔN 1.0	B OO NZ
PHỊU 1.0	PH I UZ
HÈM 1.0	H E MZ
CHŨM 1.0	CH U MZ
RẰN 1.0	R AW NZ
BOONG 1.0	B W O NGZ
VƯỢN 1.0	V WA NZ
RÙ 1.0	R U
NHOÈ 1.0	NH W E
CHẠO 1.0	CH A UZ
NGỐ 1.0	NG OO
TỢN 1.0	T OW NZ
CHÙY 1.0	CH W I
RUM 1.0	R U MZ
KHOÉ 1.0	KH W E
GỒI 1.0	G OO IZ
ĐÌ 1.0	DD I
BƯƠNG 1.0	B WA NGZ
RƯ 1.0	R UW
NGHỆCH 1.0	NG EE KC
SĂNG 1.0	S AW NGZ
RÌU 1.0	R I UZ
NHIỄN 1.0	NH IE NZ
DUỐC 1.0	D UO KC
NGHỈM 1.0	NG I MZ
DỢ 1.0	D OW
BEM 1.0	B E MZ
SỔNG 1.0	S OO NGZ
RUI 1.0	R U IZ
MEO 1.0	M E UZ
PAN 1.0	P A NZ
XỜ 1.0	S OW
PHỨA 1.0	PH WA
NHẲNG 1.0	NH AW NGZ
CẤC 1.0	K AA KC
SỔI 1.0	S OO IZ
NẬNG 1.0	N AA NGZ
PHỆT 1.0	PH EE TC
NẪU 1.0	N AA UZ
NỨNG 1.0	N UW NGZ
NẪNG 1.0	N AA NGZ
GÔM 1.0	G OO MZ
HẨU 1.0	H AA UZ
BỨ 1.0	B UW
RUỐI 1.0	R UO IZ
THÈ 1.0	TH E
ẤT 1.0	AA TC
BỨNG 1.0	B UW NGZ
KHẰNG 1.0	KH AW NGZ
RỀN 1.0	R EE NZ
MỤI 1.0	M U IZ
CHÚM 1.0	CH U MZ
BỰA 1.0	B WA
BỔI 1.0	B OO IZ
NỤC 1.0	N U KC
ÚI 1.0	U IZ
LƯỜN 1.0	L WA NZ
LÈN 1.0	L E NZ
BUỒI 1.0	B UO IZ
DOA 1.0	D W A
VỐNG 1.0	V OO NGZ
ÉM 1.0	E MZ
QUẮM 1.0	K W AW MZ
NIỆT 1.0	N IE TC
PHẨN 1.0	PH AA NZ
RỀU 1.0	R EE UZ
MỤT 1.0	M U TC
PAO 1.0	P A UZ
GIỘP 1.0	D OO PC
THỦM 1.0	TH U MZ
HOẢNH 1.0	H W A NGZ
PHỤT 1.0	PH U TC
BỊNH 1.0	B I NGZ
QUỆN 1.0	K W EE NZ
MUÔI 1.0	M UO IZ
HUỴCH 1.0	H W I KC
GỪ 1.0	G UW
PHỀNH 1.0	PH EE NGZ
CHẢU 1.0	CH A UZ
PHOM 1.0	PH O MZ
KIỄNG 1.0	K IE NGZ
RÚP 1.0	R U PC
NỌN 1.0	N O NZ
BỒM 1.0	B OO MZ
KHẠP 1.0	KH A PC
CẠ 1.0	K A
GIÀO 1.0	D A UZ
LẴNG 1.0	L AW NGZ
SAT 1.0	S A TC
OẠCH 1.0	W A KC
HỤP 1.0	H U PC
CHẬN 1.0	CH AA NZ
BỦNG 1.0	B U NGZ
RÍ 1.0	R I
ĐỨ 1.0	DD UW
HÈO 1.0	H E UZ
GIÂM 1.0	D AA MZ
SẶT 1.0	S AW TC
SẬY 1.0	S AA IZ
NGOẠM 1.0	NG W A MZ
ẾM 1.0	EE MZ
DIỀM 1.0	D IE MZ
GON 1.0	G O NZ
GIỘI 1.0	D OO IZ
LỰNG 1.0	L UW NGZ
BÍM 1.0	B I MZ
HỨ 1.0	H UW
DỪ 1.0	D UW
BỄ 1.0	B EE
ỢT 1.0	OW TC
RƯỜNG 1.0	R WA NGZ
DẢNH 1.0	D A NGZ
KHOẰM 1.0	KH W AW MZ
PHỊA 1.0	PH IE
RƯƠNG 1.0	R WA NGZ
KỄNH 1.0	K EE NGZ
HỤM 1.0	H U MZ
TÊM 1.0	T EE MZ
RŨA 1.0	R W A
TẾCH 1.0	T EE KC
ẲNG 1.0	AW NGZ
LUỐT 1.0	L UO TC
ĐOI 1.0	DD O IZ
NÂN 1.0	N AA NZ
Ề 1.0	EE
CHUỘI 1.0	CH UO IZ
LỤN 1.0	L U NZ
NỠM 1.0	N OW MZ
LIẾP 1.0	L IE PC
KHẸC 1.0	KH E KC
DẬN 1.0	D AA NZ
BẠNH 1.0	B A NGZ
NHẲN 1.0	NH AW NZ
KIẾU 1.0	K IE UZ
SÈ 1.0	S E
RẶT 1.0	R AW TC
TẼ 1.0	T E
NHÒNG 1.0	NH O NGZ
NHỠN 1.0	NH OW NZ
ĐŨI 1.0	DD U IZ
SỊ 1.0	S I
HOẴNG 1.0	H W AW NGZ
QUÀNH 1.0	K W A NGZ
SỊCH 1.0	S I KC
HOÁI 1.0	H W A IZ
NGÒN 1.0	NG O NZ
CHOẸT 1.0	CH W E TC
KHÒM 1.0	KH O MZ
BẺM 1.0	B E MZ
NGÙ 1.0	NG U
GIÁT 1.0	D A TC
NÁNH 1.0	N A NGZ
SÍT 1.0	S I TC
BỎI 1.0	B O IZ
PHỊ 1.0	PH I
HOẢ 1.0	H W A
CHOÁI 1.0	CH W A IZ
